Model_index Run_id Replica_id Frame_id GaussianEMRestraint_None_CCC ConnectivityRestraint_Score ExcludedVolumeSphere_Score GaussianEMRestraint_None Total_Score
0 11 2 0 0.80 0.00 0.38 228.84 229.22
1 11 2 1 0.80 0.00 0.62 227.34 227.96
2 11 2 3 0.80 0.00 0.80 226.55 227.35
3 11 2 4 0.80 0.00 0.01 227.73 227.74
4 11 2 5 0.80 0.00 1.22 227.12 228.35
5 11 2 6 0.80 0.00 0.97 228.28 229.25
6 11 2 7 0.80 0.00 0.95 225.84 226.78
7 11 2 8 0.80 0.00 0.12 227.87 227.99
8 11 2 9 0.80 0.00 0.01 228.84 228.84
9 11 2 11 0.80 0.00 2.40 229.78 232.18
10 11 2 12 0.80 0.00 0.30 225.69 225.99
11 11 2 13 0.80 0.00 0.59 226.02 226.61
12 11 2 14 0.80 0.00 1.80 227.37 229.17
13 11 2 16 0.80 0.00 0.70 228.38 229.08
14 11 2 17 0.80 0.00 0.00 228.53 228.53
15 11 2 21 0.81 0.00 1.17 225.55 226.72
16 11 2 22 0.80 0.00 1.60 229.65 231.25
17 11 2 23 0.80 0.00 2.34 228.69 231.03
18 11 2 29 0.80 0.00 0.09 230.08 230.18
19 11 2 30 0.80 0.00 0.30 226.73 227.03
20 11 2 31 0.80 0.00 0.94 226.92 227.86
21 11 2 33 0.80 0.00 1.14 228.94 230.08
22 11 2 36 0.81 0.00 1.17 224.84 226.01
23 11 2 37 0.80 0.00 0.25 226.90 227.15
24 11 2 38 0.80 0.00 0.17 227.89 228.06
25 11 2 39 0.80 0.00 1.97 228.93 230.90
26 11 2 40 0.80 0.00 0.08 230.10 230.18
27 11 2 41 0.80 0.00 0.81 228.02 228.83
28 11 2 43 0.80 0.00 0.90 227.20 228.10
29 11 2 44 0.80 0.00 0.00 228.95 228.95
30 11 2 45 0.80 0.00 0.23 229.38 229.60
31 11 2 46 0.80 0.00 0.65 229.44 230.09
32 11 2 47 0.80 0.00 1.80 229.25 231.05
33 11 2 48 0.80 0.00 0.02 228.27 228.29
34 11 2 49 0.80 0.00 1.07 229.61 230.68
35 11 2 50 0.80 0.00 3.32 230.59 233.90
36 11 2 52 0.80 0.00 0.01 230.44 230.45
37 11 2 55 0.80 0.00 0.07 230.45 230.52
38 11 2 57 0.80 0.00 2.24 226.72 228.97
39 11 2 58 0.80 0.00 0.01 229.36 229.38
40 11 2 59 0.80 0.00 0.11 228.29 228.41
41 11 2 60 0.81 0.00 0.70 225.37 226.07
42 11 2 62 0.80 0.00 1.41 226.12 227.53
43 11 2 63 0.80 0.00 1.28 226.15 227.43
44 11 2 64 0.80 0.00 0.91 230.38 231.28
45 11 2 67 0.80 0.00 0.64 230.42 231.07
46 11 2 68 0.80 0.00 1.95 230.06 232.01
47 11 2 69 0.80 0.00 1.73 230.04 231.77
48 11 2 70 0.80 0.00 0.46 226.34 226.80
49 11 2 71 0.80 0.00 0.21 229.33 229.54
50 11 2 73 0.80 0.00 0.16 229.30 229.46
51 11 2 74 0.80 0.00 0.33 227.15 227.47
52 11 2 75 0.80 0.00 0.13 230.66 230.79
53 11 2 76 0.80 0.00 0.44 229.68 230.12
54 11 2 78 0.80 0.00 0.72 230.77 231.49
55 11 2 79 0.80 0.00 2.76 230.04 232.81
56 11 2 80 0.80 0.00 1.39 229.92 231.32
57 11 2 82 0.80 0.00 1.99 227.26 229.25
58 11 2 83 0.80 0.00 0.19 227.45 227.63
59 11 2 85 0.80 0.00 0.63 230.03 230.66
60 11 2 86 0.80 0.00 1.21 229.22 230.43
61 11 2 87 0.80 0.00 0.32 230.06 230.37
62 11 2 88 0.80 0.00 0.54 226.22 226.76
63 11 2 89 0.80 0.00 0.67 229.05 229.72
64 11 2 91 0.80 0.00 0.28 227.42 227.71
65 11 2 93 0.80 0.00 0.46 226.16 226.62
66 11 2 94 0.80 0.00 0.77 226.22 226.99
67 11 2 95 0.80 0.00 1.18 227.90 229.09
68 11 2 96 0.80 0.00 0.05 228.87 228.92
69 11 2 98 0.80 0.00 0.14 230.03 230.17
70 11 2 100 0.80 0.00 0.00 227.59 227.59
71 11 2 101 0.80 0.00 2.54 228.69 231.23
72 11 2 102 0.80 0.00 1.05 226.30 227.35
73 11 2 103 0.80 0.00 0.10 230.12 230.22
74 11 2 104 0.80 0.00 0.15 229.13 229.28
75 11 2 105 0.80 0.00 0.80 226.14 226.94
