# time				mean				std
0.000000000000000000e+00 8.830767906501034714e-01 4.905207534591085605e-01
1.000000000000000056e-01 6.675323491468776460e-01 6.705474567463962643e-01
2.000000000000000111e-01 8.382802540251600432e-01 4.735506150291150518e-01
3.000000000000000444e-01 8.696530069810733954e-01 4.560320687239567961e-01
4.000000000000000222e-01 7.965566774377191850e-01 4.860086671275987147e-01
5.000000000000000000e-01 8.738211648229676776e-01 2.759841347052511829e-01
6.000000000000000888e-01 9.516495933084311298e-01 5.517273344767515963e-01
7.000000000000000666e-01 9.090269859987685219e-01 3.959580174960444232e-01
8.000000000000000444e-01 9.575787435020178817e-01 5.955254676023785665e-01
9.000000000000000222e-01 1.069823253821595266e+00 4.663713599483021444e-01
1.000000000000000000e+00 1.092308171750051127e+00 6.976505557358374521e-01
1.100000000000000089e+00 1.194832814729923864e+00 2.754765275908193645e-01
1.200000000000000178e+00 1.095581855899940393e+00 5.458252705028183716e-01
1.300000000000000044e+00 8.735199775150254142e-01 3.387771571094603806e-01
1.400000000000000133e+00 1.157212474011674708e+00 4.040754820631984878e-01
1.500000000000000000e+00 1.060196808366071997e+00 3.027219815254080792e-01
1.600000000000000089e+00 1.240670628123898389e+00 3.192330661200969977e-01
1.700000000000000178e+00 1.013605020031071779e+00 4.503598358227725584e-01
1.800000000000000044e+00 1.270469438929009209e+00 4.867977224247372336e-01
1.900000000000000133e+00 9.999686478586656824e-01 5.436809356242282565e-01
2.000000000000000000e+00 1.292144724171797598e+00 4.626598957145997559e-01
2.100000000000000089e+00 1.108206345695613715e+00 5.202862022829242150e-01
2.200000000000000178e+00 1.225814155112733950e+00 7.245292552903058736e-01
2.300000000000000266e+00 1.169112536561609073e+00 6.938622717365051651e-01
2.400000000000000355e+00 1.119443422578394243e+00 6.129308587446924417e-01
2.500000000000000000e+00 1.090972029027246215e+00 7.089781509310183472e-01
